date,team_id,team_name,rank,total_points
2026-03-19,T2,Team B,1,20.0
2026-03-19,T10,Team L,1,20.0
2026-03-19,T8,Team H,2,10.0
2026-03-19,T9,Team I,2,10.0
2026-03-19,T3,Team C,3,0.0
2026-03-19,T5,Team E,3,0.0
2026-03-19,T6,Team F,3,0.0
2026-03-20,T1,Team A,1,10.0
2026-03-20,T5,Team E,1,10.0
2026-03-20,T9,Team I,1,10.0
