date,team_id,team_name,rank,total_points
2026-03-19,T2,Team B,1,10.0
2026-03-19,T4,Team D,1,10.0
2026-03-19,T7,Team G,1,10.0
2026-03-19,T8,Team H,1,10.0
2026-03-19,T9,Team I,1,10.0
2026-03-19,T5,Team E,2,0.0
2026-03-19,T6,Team F,2,0.0
